pdbid,logKd-Ki,Delta_H0 (kJ/mol),Delta_H0 (kJ/mol)
5tln,6.37,6.92,6.92
1kdy,6.38,6.92,6.92
1qja,6.38,6.92,6.92
1qjb,6.38,6.92,6.92
1ukh,6.38,6.92,6.92
1xm6,6.38,6.92,6.92
1xnx,6.38,6.92,6.92
2q2c,6.38,6.92,6.92
2wcg,6.38,6.92,6.92
3hau,6.38,6.92,6.92
3l3a,6.38,6.92,6.92
3oqk,6.38,6.92,6.92
4f3h,6.38,6.92,6.92
4nzn,6.38,6.92,6.92
4tki,6.38,6.92,6.92
4u6x,6.38,6.92,6.92
4unn,6.38,6.92,6.92
1o79,6.39,6.92,6.92
1ocn,6.39,6.92,6.92
1xog,6.39,6.92,6.92
3ess,6.39,6.92,6.92
3v7d,6.39,6.92,6.92
3vyd,6.39,6.92,6.92
4i12,6.39,6.92,6.92
4yoj,6.39,6.92,6.92
5akw,6.39,6.92,6.92
1a07,6.4,6.92,6.92
1a1b,6.4,6.92,6.92
1c3r,6.4,6.92,6.92
1fq4,6.4,6.92,6.92
1jrs,6.4,6.92,6.92
1rth,6.4,6.92,6.92
1t2v,6.4,6.92,6.92
1upk,6.4,6.92,6.92
1z2b,6.4,6.92,6.92
2a4l,6.4,6.92,6.92
2ai7,6.4,6.92,6.92
2c1b,6.4,6.92,6.92
2cmo,6.4,6.92,6.92
2jbk,6.4,6.92,6.92
2o2u,6.4,6.92,6.92
2qqs,6.4,6.92,6.92
2waj,6.4,6.92,6.92
2zaz,6.4,6.92,6.92
3dz4,6.4,6.92,6.92
3jq9,6.4,6.92,6.92
3ll8,6.4,6.92,6.92
3lw0,6.4,6.92,6.92
3o3j,6.4,6.92,6.92
3pn3,6.4,6.92,6.92
3rsb,6.4,6.92,6.92
3sfi,6.4,6.92,6.92
3szm,6.4,6.92,6.92
3zs1,6.4,6.92,6.92
4c7t,6.4,6.92,6.92
4cff,6.4,6.92,6.92
4dpf,6.4,6.92,6.92
4dpf,6.4,6.92,6.92
4ff8,6.4,6.92,6.92
4hcv,6.4,6.92,6.92
4jj7,6.4,6.92,6.92
4m3b,6.4,6.92,6.92
4mbc,6.4,6.92,6.92
4o3u,6.4,6.92,6.92
4p00,6.4,6.92,6.92
4p02,6.4,6.92,6.92
4pax,6.4,6.92,6.92
4pmp,6.4,6.92,6.92
4qnu,6.4,6.92,6.92
4qtc,6.4,6.92,6.92
4r1y,6.4,6.92,6.92
4u79,6.4,6.92,6.92
4whl,6.4,6.92,6.92
4x1r,6.4,6.92,6.92
4xbd,6.4,6.92,6.92
4yv9,6.4,6.92,6.92
4zxy,6.4,6.92,6.92
5c5h,6.4,6.92,6.92
5e0l,6.4,6.92,6.92
1pye,6.41,6.92,6.92
1xor,6.41,6.92,6.92
2oj9,6.41,6.92,6.92
2qki,6.41,6.92,6.92
2xxn,6.41,6.92,6.92
2xxw,6.41,6.92,6.92
3mxy,6.41,6.92,6.92
4b5b,6.41,6.92,6.92
4j0r,6.41,6.92,6.92
4jq7,6.41,6.92,6.92
4o1b,6.41,6.92,6.92
4o2f,6.41,6.92,6.92
5cvd,6.41,6.92,6.92
1r17,6.42,6.92,6.92
1thl,6.42,6.92,6.92
1w0y,6.42,6.92,6.92
2fw3,6.42,6.92,6.92
2jle,6.42,6.92,6.92
2y36,6.42,6.92,6.92
3is9,6.42,6.92,6.92
3rkb,6.42,6.92,6.92
4itj,6.42,6.92,6.92
4m5o,6.42,6.92,6.92
4wnk,6.42,6.92,6.92
4x1n,6.42,6.92,6.92
4zyc,6.42,6.92,6.92
1n7j,6.43,6.92,6.92
1nax,6.43,6.92,6.92
1t46,6.43,6.92,6.92
2bzz,6.43,6.92,6.92
2cia,6.43,6.92,6.92
2ivu,6.43,6.92,6.92
2q94,6.43,6.92,6.92
3ask,6.43,6.92,6.92
3q4c,6.43,6.92,6.92
4cik,6.43,6.92,6.92
4deb,6.43,6.92,6.92
4wsk,6.43,6.92,6.92
4z2j,6.43,6.92,6.92
1j4q,6.44,6.92,6.92
1jqe,6.44,6.92,6.92
1qti,6.44,6.92,6.92
1svh,6.44,6.92,6.92
2m0u,6.44,6.92,6.92
2vqj,6.44,6.92,6.92
2y59,6.44,6.92,6.92
3d7m,6.44,6.92,6.92
3ffu,6.44,6.92,6.92
3wyj,6.44,6.92,6.92
3zmq,6.44,6.92,6.92
4ea1,6.44,6.92,6.92
4fmu,6.44,6.92,6.92
4jfx,6.44,6.92,6.92
4jg6,6.44,6.92,6.92
4l2k,6.44,6.92,6.92
4os6,6.44,6.92,6.92
4pde,6.44,6.92,6.92
4qaa,6.44,6.92,6.92
4tjy,6.44,6.92,6.92
4wz4,6.44,6.92,6.92
5al2,6.44,6.92,6.92
3d32,6.45,6.92,6.92
1gt3,6.46,6.92,6.92
1q4w,6.46,6.92,6.92
1wbn,6.46,6.92,6.92
2c6m,6.46,6.92,6.92
2ohv,6.46,6.92,6.92
2vwu,6.46,6.92,6.92
3i6m,6.46,6.92,6.92
3kdu,6.46,6.92,6.92
3tnh,6.46,6.92,6.92
3zy2,6.46,6.92,6.92
4dgn,6.46,6.92,6.92
4hyb,6.46,6.92,6.92
4w4y,6.46,6.92,6.92
5ap4,6.46,6.92,6.92
7abp,6.46,6.92,6.92
1aqj,6.47,6.92,6.92
1bxl,6.47,6.92,6.92
1o9k,6.47,6.92,6.92
1wbt,6.47,6.92,6.92
2o64,6.47,6.92,6.92
2xu4,6.47,6.92,6.92
3gcq,6.47,6.92,6.92
3zh8,6.47,6.92,6.92
4aft,6.47,6.92,6.92
4ju4,6.47,6.92,6.92
4jzb,6.47,6.92,6.92
4uv8,6.47,6.92,6.92
5ai1,6.47,6.92,6.92
5c11,6.47,6.92,6.92
1c50,6.48,6.92,6.92
1q9m,6.48,6.92,6.92
2f89,6.48,6.92,6.92
2hz0,6.48,6.92,6.92
2oz5,6.48,6.92,6.92
2q2n,6.48,6.92,6.92
2w6p,6.48,6.92,6.92
2x24,6.48,6.92,6.92
3cph,6.48,6.92,6.92
3ieo,6.48,6.92,6.92
3nc9,6.48,6.92,6.92
3p3u,6.48,6.92,6.92
4kon,6.48,6.92,6.92
4mg8,6.48,6.92,6.92
4n7e,6.48,6.92,6.92
4nat,6.48,6.92,6.92
4pvv,6.48,6.92,6.92
4q0a,6.48,6.92,6.92
4yoi,6.48,6.92,6.92
1fsw,6.49,6.92,6.92
1ru2,6.49,6.92,6.92
1s4d,6.49,6.92,6.92
1x11,6.49,6.92,6.92
2h02,6.49,6.92,6.92
2qf6,6.49,6.92,6.92
2ygu,6.49,6.92,6.92
3ara,6.49,6.92,6.92
3bum,6.49,6.92,6.92
3h0j,6.49,6.92,6.92
3mj5,6.49,6.92,6.92
3muf,6.49,6.92,6.92
3qar,6.49,6.92,6.92
3qel,6.49,6.92,6.92
3u6a,6.49,6.92,6.92
3u8h,6.49,6.92,6.92
3wut,6.49,6.92,6.92
4d8s,6.49,6.92,6.92
4eoy,6.49,6.92,6.92
4gv8,6.49,6.92,6.92
4mwb,6.49,6.92,6.92
4v11,6.49,6.92,6.92
4yee,6.49,6.92,6.92
4z68,6.49,6.92,6.92
5ar7,6.49,6.92,6.92
2gj4,6.5,6.92,6.92
3qcs,6.5,6.92,6.92
4ith,6.5,6.92,6.92
4mw4,6.5,6.92,6.92
4qws,6.5,6.92,6.92
1h3c,6.51,6.92,6.92
1vwf,6.51,6.92,6.92
2jkt,6.51,6.92,6.92
2wtc,6.51,6.92,6.92
2y56,6.51,6.92,6.92
3gds,6.51,6.92,6.92
3hv4,6.51,6.92,6.92
3k5u,6.51,6.92,6.92
3r93,6.51,6.92,6.92
4bo9,6.51,6.92,6.92
4e3o,6.51,6.92,6.92
4hlg,6.51,6.92,6.92
4nka,6.51,6.92,6.92
1gt4,6.52,6.92,6.92
1j80,6.52,6.92,6.92
1k3q,6.52,6.92,6.92
1m21,6.52,6.92,6.92
1mqh,6.52,6.92,6.92
1rsd,6.52,6.92,6.92
1w1d,6.52,6.92,6.92
2f9b,6.52,6.92,6.92
2fx8,6.52,6.92,6.92
2gz7,6.52,6.92,6.92
2ima,6.52,6.92,6.92
2jql,6.52,6.92,6.92
2ntf,6.52,6.92,6.92
2off,6.52,6.92,6.92
2rc8,6.52,6.92,6.92
2v3e,6.52,6.92,6.92
2vev,6.52,6.92,6.92
2w0p,6.52,6.92,6.92
2w73,6.52,6.92,6.92
2x2k,6.52,6.92,6.92
3c10,6.52,6.92,6.92
3g2v,6.52,6.92,6.92
3hio,6.52,6.92,6.92
3hjo,6.52,6.92,6.92
3ljj,6.52,6.92,6.92
3p4q,6.52,6.92,6.92
3rwf,6.52,6.92,6.92
3zm6,6.52,6.92,6.92
4aig,6.52,6.92,6.92
4bqx,6.52,6.92,6.92
4ez5,6.52,6.92,6.92
4ezo,6.52,6.92,6.92
4fiv,6.52,6.92,6.92
4krs,6.52,6.92,6.92
4loj,6.52,6.92,6.92
4nj3,6.52,6.92,6.92
4og5,6.52,6.92,6.92
4pvt,6.52,6.92,6.92
4qme,6.52,6.92,6.92
4qps,6.52,6.92,6.92
4r0i,6.52,6.92,6.92
4rxd,6.52,6.92,6.92
4tzn,6.52,6.92,6.92
4tzq,6.52,6.92,6.92
4ydq,6.52,6.92,6.92
5al4,6.52,6.92,6.92
5est,6.52,6.92,6.92
3wtk,6.53,6.92,6.92
4mmf,6.53,6.92,6.92
4qvl,6.53,6.92,6.92
5a0e,6.53,6.92,6.92
5alm,6.53,6.92,6.92
1d3q,6.54,6.92,6.92
1h39,6.54,6.92,6.92
1hvy,6.54,6.92,6.92
1vyz,6.54,6.92,6.92
1zz3,6.54,6.92,6.92
2evc,6.54,6.92,6.92
2zhd,6.54,6.92,6.92
2zns,6.54,6.92,6.92
3b8z,6.54,6.92,6.92
3exf,6.54,6.92,6.92
3g4k,6.54,6.92,6.92
3hii,6.54,6.92,6.92
3piy,6.54,6.92,6.92
3pvu,6.54,6.92,6.92
3sl8,6.54,6.92,6.92
4btx,6.54,6.92,6.92
4p0b,6.54,6.92,6.92
4pl3,6.54,6.92,6.92
4ps5,6.54,6.92,6.92
4u90,6.54,6.92,6.92
4uu8,6.54,6.92,6.92
5cfa,6.54,6.92,6.92
1h3a,6.55,6.92,6.92
1q4k,6.55,6.92,6.92
1umw,6.55,6.92,6.92
2fgh,6.55,6.92,6.92
2uw6,6.55,6.92,6.92
3cho,6.55,6.92,6.92
4clb,6.55,6.92,6.92
4frj,6.55,6.92,6.92
4k42,6.55,6.92,6.92
4o9s,6.55,6.92,6.92
4qp8,6.55,6.92,6.92
4x2s,6.55,6.92,6.92
2khh,6.56,6.92,6.92
4kg1,6.56,6.92,6.92
4lnb,6.56,6.92,6.92
1ft4,6.57,6.92,6.92
1gzv,6.57,6.92,6.92
1ujk,6.57,6.92,6.92
1wva,6.57,6.92,6.92
1y2c,6.57,6.92,6.92
1zub,6.57,6.92,6.92
2c6l,6.57,6.92,6.92
2cv3,6.57,6.92,6.92
2lbm,6.57,6.92,6.92
2m3z,6.57,6.92,6.92
3cgf,6.57,6.92,6.92
3cm7,6.57,6.92,6.92
3il6,6.57,6.92,6.92
3lc5,6.57,6.92,6.92
3rbm,6.57,6.92,6.92
3wci,6.57,6.92,6.92
4ge5,6.57,6.92,6.92
4jgv,6.57,6.92,6.92
4l0i,6.57,6.92,6.92
4la7,6.57,6.92,6.92
4mzo,6.57,6.92,6.92
4x68,6.57,6.92,6.92
4zum,6.57,6.92,6.92
5aln,6.57,6.92,6.92
5lpr,6.57,6.92,6.92
3sd5,6.58,6.92,6.92
5em5,6.58,6.92,6.92
1c2t,6.59,6.92,6.92
1hk3,6.59,6.92,6.92
1mq1,6.59,6.92,6.92
1n7i,6.59,6.92,6.92
1qr3,6.59,6.92,6.92
2v7d,6.59,6.92,6.92
2xzq,6.59,6.92,6.92
3kah,6.59,6.92,6.92
3kdt,6.59,6.92,6.92
3opr,6.59,6.92,6.92
3tl0,6.59,6.92,6.92
3uvn,6.59,6.92,6.92
3wcl,6.59,6.92,6.92
4bnz,6.59,6.92,6.92
4dea,6.59,6.92,6.92
4j51,6.59,6.92,6.92
4li0,6.59,6.92,6.92
4q3s,6.59,6.92,6.92
4rn0,6.59,6.92,6.92
5akh,6.59,6.92,6.92
5ddd,6.59,6.92,6.92
5e0a,6.59,6.92,6.92
1ad8,6.6,6.92,6.92
1d8e,6.6,6.92,6.92
1gwr,6.6,6.92,6.92
1kwr,6.6,6.92,6.92
1vot,6.6,6.92,6.92
1zpc,6.6,6.92,6.92
2a4z,6.6,6.92,6.92
2c5x,6.6,6.92,6.92
2c5y,6.6,6.92,6.92
2gg2,6.6,6.92,6.92
2gg5,6.6,6.92,6.92
2gtk,6.6,6.92,6.92
2xhx,6.6,6.92,6.92
2y77,6.6,6.92,6.92
3cwk,6.6,6.92,6.92
3dgl,6.6,6.92,6.92
3ejs,6.6,6.92,6.92
3eju,6.6,6.92,6.92
3eyl,6.6,6.92,6.92
3jzp,6.6,6.92,6.92
3mpt,6.6,6.92,6.92
3tu1,6.6,6.92,6.92
4bib,6.6,6.92,6.92
4bie,6.6,6.92,6.92
4ci1,6.6,6.92,6.92
4efu,6.6,6.92,6.92
4f08,6.6,6.92,6.92
4mr5,6.6,6.92,6.92
4pnk,6.6,6.92,6.92
4qk4,6.6,6.92,6.92
4wpf,6.6,6.92,6.92
4xii,6.6,6.92,6.92
4ybi,6.6,6.92,6.92
5alk,6.6,6.92,6.92
3f7u,6.61,6.92,6.92
3kig,6.61,6.92,6.92
3mo2,6.61,6.92,6.92
3qpo,6.61,6.92,6.92
3rjm,6.61,6.92,6.92
4nnw,6.61,6.92,6.92
4qw3,6.61,6.92,6.92
5ai9,6.61,6.92,6.92
1jd5,6.62,6.92,6.92
1s3k,6.62,6.92,6.92
1soj,6.62,6.92,6.92
1tkz,6.62,6.92,6.92
1xnz,6.62,6.92,6.92
2cnf,6.62,6.92,6.92
2vww,6.62,6.92,6.92
2zq1,6.62,6.92,6.92
3aav,6.62,6.92,6.92
3iu9,6.62,6.92,6.92
3ka2,6.62,6.92,6.92
3m93,6.62,6.92,6.92
3opm,6.62,6.92,6.92
3umx,6.62,6.92,6.92
4txc,6.62,6.92,6.92
4unq,6.62,6.92,6.92
4x8n,6.62,6.92,6.92
8lpr,6.62,6.92,6.92
2exc,6.63,6.92,6.92
2qlq,6.63,6.92,6.92
3arb,6.63,6.92,6.92
3wf8,6.63,6.92,6.92
4eyr,6.63,6.92,6.92
4l0v,6.63,6.92,6.92
4nw7,6.63,6.92,6.92
4pv7,6.63,6.92,6.92
4rsc,6.63,6.92,6.92
4xrq,6.63,6.92,6.92
1tmm,6.64,6.92,6.92
2gej,6.64,6.92,6.92
2h96,6.64,6.92,6.92
2jdo,6.64,6.92,6.92
2kpl,6.64,6.92,6.92
2oi3,6.64,6.92,6.92
2srt,6.64,6.92,6.92
2wap,6.64,6.92,6.92
2wbd,6.64,6.92,6.92
2wi6,6.64,6.92,6.92
3cf1,6.64,6.92,6.92
3eoc,6.64,6.92,6.92
3g76,6.64,6.92,6.92
3zy5,6.64,6.92,6.92
4cc6,6.64,6.92,6.92
4e8z,6.64,6.92,6.92
4io8,6.64,6.92,6.92
4jit,6.64,6.92,6.92
4rxe,6.64,6.92,6.92
5abp,6.64,6.92,6.92
2pre,6.65,6.92,6.92
3eio,6.65,6.92,6.92
3zpr,6.65,6.92,6.92
4hww,6.65,6.92,6.92
1h3h,6.66,6.92,6.92
2c5n,6.66,6.92,6.92
2c8x,6.66,6.92,6.92
2j7w,6.66,6.92,6.92
2v5x,6.66,6.92,6.92
2vx1,6.66,6.92,6.92
2y5k,6.66,6.92,6.92
2zm1,6.66,6.92,6.92
3iej,6.66,6.92,6.92
3lnj,6.66,6.92,6.92
3lp2,6.66,6.92,6.92
3ow6,6.66,6.92,6.92
3shv,6.66,6.92,6.92
3uat,6.66,6.92,6.92
4bjb,6.66,6.92,6.92
4bjb,6.66,6.92,6.92
4j08,6.66,6.92,6.92
4jr3,6.66,6.92,6.92
4ps1,6.66,6.92,6.92
4z2g,6.66,6.92,6.92
4z7h,6.66,6.92,6.92
4zjw,6.66,6.92,6.92
2etm,6.67,6.92,6.92
3ew2,6.67,6.92,6.92
4yl1,6.67,6.92,6.92
5aad,6.67,6.92,6.92
5cav,6.67,6.92,6.92
1bdr,6.68,6.92,6.92
1oiu,6.68,6.92,6.92
1zeo,6.68,6.92,6.92
2cm7,6.68,6.92,6.92
2of2,6.68,6.92,6.92
2ony,6.68,6.92,6.92
2rcu,6.68,6.92,6.92
2wf0,6.68,6.92,6.92
2wtd,6.68,6.92,6.92
3dab,6.68,6.92,6.92
3ddq,6.68,6.92,6.92
3fhr,6.68,6.92,6.92
3lpf,6.68,6.92,6.92
3qa2,6.68,6.92,6.92
3ttj,6.68,6.92,6.92
3ws8,6.68,6.92,6.92
4h39,6.68,6.92,6.92
4h4e,6.68,6.92,6.92
4l2g,6.68,6.92,6.92
4q6r,6.68,6.92,6.92
4rrs,6.68,6.92,6.92
4ttv,6.68,6.92,6.92
4wpn,6.68,6.92,6.92
3wf7,6.69,6.92,6.92
4mm6,6.69,6.92,6.92
5alf,6.69,6.92,6.92
1a09,6.7,6.92,6.92
1a50,6.7,6.92,6.92
1fo3,6.7,6.92,6.92
1gca,6.7,6.92,6.92
1hp0,6.7,6.92,6.92
1i7i,6.7,6.92,6.92
1jq3,6.7,6.92,6.92
1ke3,6.7,6.92,6.92
1lfo,6.7,6.92,6.92
1mwn,6.7,6.92,6.92
1nms,6.7,6.92,6.92
1p10,6.7,6.92,6.92
1qy5,6.7,6.92,6.92
1rek,6.7,6.92,6.92
1unl,6.7,6.92,6.92
1xdd,6.7,6.92,6.92
1xr8,6.7,6.92,6.92
1z6q,6.7,6.92,6.92
2emt,6.7,6.92,6.92
2fwy,6.7,6.92,6.92
2is0,6.7,6.92,6.92
2kup,6.7,6.92,6.92
2lcs,6.7,6.92,6.92
2lkk,6.7,6.92,6.92
2ow0,6.7,6.92,6.92
2va7,6.7,6.92,6.92
2x7d,6.7,6.92,6.92
3c7n,6.7,6.92,6.92
3ipb,6.7,6.92,6.92
3k3b,6.7,6.92,6.92
3mb7,6.7,6.92,6.92
3oyl,6.7,6.92,6.92
3rk7,6.7,6.92,6.92
3upf,6.7,6.92,6.92
3zs0,6.7,6.92,6.92
3zs0,6.7,6.92,6.92
4azy,6.7,6.92,6.92
4bo0,6.7,6.92,6.92
4fns,6.7,6.92,6.92
4hy0,6.7,6.92,6.92
4lh5,6.7,6.92,6.92
4lkj,6.7,6.92,6.92
4m7b,6.7,6.92,6.92
4mex,6.7,6.92,6.92
4o1l,6.7,6.92,6.92
4os2,6.7,6.92,6.92
4pyv,6.7,6.92,6.92
4qta,6.7,6.92,6.92
4qtb,6.7,6.92,6.92
4u5t,6.7,6.92,6.92
4uit,6.7,6.92,6.92
4uns,6.7,6.92,6.92
5ar4,6.7,6.92,6.92
5dhj,6.7,6.92,6.92
1w82,6.71,6.92,6.92
4jrg,6.71,6.92,6.92
4og6,6.71,6.92,6.92
1n4m,6.72,6.92,6.92
1ov3,6.72,6.92,6.92
2f3f,6.72,6.92,6.92
2pjl,6.72,6.92,6.92
2rt5,6.72,6.92,6.92
2w3o,6.72,6.92,6.92
2x8i,6.72,6.92,6.92
2xne,6.72,6.92,6.92
2zz6,6.72,6.92,6.92
3bm9,6.72,6.92,6.92
3bxz,6.72,6.92,6.92
3diw,6.72,6.92,6.92
3fun,6.72,6.92,6.92
3g7l,6.72,6.92,6.92
3kyr,6.72,6.92,6.92
4bb4,6.72,6.92,6.92
4dv9,6.72,6.92,6.92
4dvi,6.72,6.92,6.92
4h58,6.72,6.92,6.92
4i73,6.72,6.92,6.92
4raq,6.72,6.92,6.92
4uia,6.72,6.92,6.92
4xv9,6.72,6.92,6.92
5e1m,6.72,6.92,6.92
5fwg,6.72,6.92,6.92
1jld,6.73,6.92,6.92
1x7q,6.73,6.92,6.92
2cma,6.73,6.92,6.92
2q8s,6.73,6.92,6.92
4a51,6.73,6.92,6.92
4kby,6.73,6.92,6.92
4mx0,6.73,6.92,6.92
5aly,6.73,6.92,6.92
1r5h,6.74,6.92,6.92
1tmb,6.74,6.92,6.92
2azc,6.74,6.92,6.92
2p3d,6.74,6.92,6.92
2pax,6.74,6.92,6.92
2uzd,6.74,6.92,6.92
2vex,6.74,6.92,6.92
2vj9,6.74,6.92,6.92
2x9e,6.74,6.92,6.92
3anq,6.74,6.92,6.92
3fh8,6.74,6.92,6.92
3heg,6.74,6.92,6.92
3hng,6.74,6.92,6.92
3mv5,6.74,6.92,6.92
3pdh,6.74,6.92,6.92
3pdq,6.74,6.92,6.92
3q6s,6.74,6.92,6.92
3r21,6.74,6.92,6.92
3wav,6.74,6.92,6.92
3zm5,6.74,6.92,6.92
4bo6,6.74,6.92,6.92
4cy1,6.74,6.92,6.92
4hwr,6.74,6.92,6.92
4j0t,6.74,6.92,6.92
4lg6,6.74,6.92,6.92
4oyk,6.74,6.92,6.92
4p4e,6.74,6.92,6.92
4rxz,6.74,6.92,6.92
4wlb,6.74,6.92,6.92
4wmu,6.74,6.92,6.92
4ylk,6.74,6.92,6.92
4zpf,6.74,6.92,6.92
1cx9,6.75,6.92,6.92
1h5u,6.75,6.92,6.92
3ekq,6.75,6.92,6.92
4ci2,6.75,6.92,6.92
1rw8,6.76,6.92,6.92
1w22,6.76,6.92,6.92
3ard,6.76,6.92,6.92
4b4g,6.76,6.92,6.92
4fn5,6.76,6.92,6.92
4hlc,6.76,6.92,6.92
4jg0,6.76,6.92,6.92
4jzf,6.76,6.92,6.92
1bkj,6.77,6.92,6.92
1bzh,6.77,6.92,6.92
1hk2,6.77,6.92,6.92
1ms7,6.77,6.92,6.92
1o3k,6.77,6.92,6.92
1y19,6.77,6.92,6.92
2c1a,6.77,6.92,6.92
2hyy,6.77,6.92,6.92
2jdt,6.77,6.92,6.92
2piz,6.77,6.92,6.92
2vo7,6.77,6.92,6.92
2w10,6.77,6.92,6.92
2x2m,6.77,6.92,6.92
3evf,6.77,6.92,6.92
3gjt,6.77,6.92,6.92
3ine,6.77,6.92,6.92
3zcz,6.77,6.92,6.92
4gj7,6.77,6.92,6.92
4hlm,6.77,6.92,6.92
4i10,6.77,6.92,6.92
4j8t,6.77,6.92,6.92
4nzo,6.77,6.92,6.92
4p4f,6.77,6.92,6.92
4x63,6.77,6.92,6.92
5c26,6.77,6.92,6.92
3fal,6.78,6.92,6.92
3kyf,6.78,6.92,6.92
3l9l,6.78,6.92,6.92
4hnp,6.78,6.92,6.92
4kqo,6.78,6.92,6.92
4wy7,6.78,6.92,6.92
5ahu,6.78,6.92,6.92
4i9s,6.79,6.92,6.92
4l31,6.79,6.92,6.92
4wkv,6.79,6.92,6.92
4xnv,6.79,6.92,6.92
1bl6,6.8,6.92,6.92
1mkd,6.8,6.92,6.92
1okx,6.8,6.92,6.92
1y2e,6.8,6.92,6.92
2ai8,6.8,6.92,6.92
2i0v,6.8,6.92,6.92
2xnm,6.8,6.92,6.92
2xu3,6.8,6.92,6.92
3c4c,6.8,6.92,6.92
3d94,6.8,6.92,6.92
3fui,6.8,6.92,6.92
3fv8,6.8,6.92,6.92
3ihz,6.8,6.92,6.92
3kc3,6.8,6.92,6.92
3mbp,6.8,6.92,6.92
3qcq,6.8,6.92,6.92
3qn7,6.8,6.92,6.92
3t03,6.8,6.92,6.92
3uib,6.8,6.92,6.92
3uvk,6.8,6.92,6.92
3zke,6.8,6.92,6.92
3zrl,6.8,6.92,6.92
4aro,6.8,6.92,6.92
4er4,6.8,6.92,6.92
4g2f,6.8,6.92,6.92
4j0a,6.8,6.92,6.92
4l7f,6.8,6.92,6.92
4lkg,6.8,6.92,6.92
4u0s,6.8,6.92,6.92
4wno,6.8,6.92,6.92
4xt9,6.8,6.92,6.92
4yoz,6.8,6.92,6.92
5a83,6.8,6.92,6.92
5c83,6.8,6.92,6.92
2f3e,6.81,6.92,6.92
3mo0,6.81,6.92,6.92
4ci3,6.81,6.92,6.92
4eqf,6.81,6.92,6.92
4m48,6.81,6.92,6.92
5cnm,6.81,6.92,6.92
1db5,6.82,6.92,6.92
1fsy,6.82,6.92,6.92
1hgt,6.82,6.92,6.92
1n7t,6.82,6.92,6.92
1nnu,6.82,6.92,6.92
1o37,6.82,6.92,6.92
1pmv,6.82,6.92,6.92
1s9t,6.82,6.92,6.92
1tr7,6.82,6.92,6.92
1xh7,6.82,6.92,6.92
2ath,6.82,6.92,6.92
2d41,6.82,6.92,6.92
2etk,6.82,6.92,6.92
2etr,6.82,6.92,6.92
2g97,6.82,6.92,6.92
2jk9,6.82,6.92,6.92
2v5a,6.82,6.92,6.92
2ydi,6.82,6.92,6.92
3cqu,6.82,6.92,6.92
3dnj,6.82,6.92,6.92
3ipe,6.82,6.92,6.92
3kb3,6.82,6.92,6.92
3kwn,6.82,6.92,6.92
3n5e,6.82,6.92,6.92
3ncg,6.82,6.92,6.92
3qbh,6.82,6.92,6.92
3t5i,6.82,6.92,6.92
3tdz,6.82,6.92,6.92
3ufl,6.82,6.92,6.92
3uix,6.82,6.92,6.92
3vf8,6.82,6.92,6.92
3wzp,6.82,6.92,6.92
4c8r,6.82,6.92,6.92
4cku,6.82,6.92,6.92
4gkc,6.82,6.92,6.92
4gy5,6.82,6.92,6.92
4h4d,6.82,6.92,6.92
4lm5,6.82,6.92,6.92
4n3r,6.82,6.92,6.92
4oew,6.82,6.92,6.92
4ow0,6.82,6.92,6.92
4w9s,6.82,6.92,6.92
5aku,6.82,6.92,6.92
1htf,6.83,6.92,6.92
2gnh,6.83,6.92,6.92
3deh,6.83,6.92,6.92
3kvx,6.83,6.92,6.92
3zo4,6.83,6.92,6.92
4bcq,6.83,6.92,6.92
4o91,6.83,6.92,6.92
4u91,6.83,6.92,6.92
1me4,6.84,6.92,6.92
2hxq,6.84,6.92,6.92
3du8,6.84,6.92,6.92
3lco,6.84,6.92,6.92
3qio,6.84,6.92,6.92
4l0s,6.84,6.92,6.92
4l32,6.84,6.92,6.92
4pul,6.84,6.92,6.92
5cnj,6.84,6.92,6.92
1bap,6.85,6.92,6.92
1h3b,6.85,6.92,6.92
1rv1,6.85,6.92,6.92
1sqc,6.85,6.92,6.92
1tvo,6.85,6.92,6.92
1yw2,6.85,6.92,6.92
2axi,6.85,6.92,6.92
2cbr,6.85,6.92,6.92
2fjm,6.85,6.92,6.92
2iw6,6.85,6.92,6.92
2vgp,6.85,6.92,6.92
2vto,6.85,6.92,6.92
2vtq,6.85,6.92,6.92
2yc3,6.85,6.92,6.92
3emh,6.85,6.92,6.92
3f5p,6.85,6.92,6.92
3g42,6.85,6.92,6.92
3h3c,6.85,6.92,6.92
3iet,6.85,6.92,6.92
3qo2,6.85,6.92,6.92
3rul,6.85,6.92,6.92
3wcg,6.85,6.92,6.92
4d85,6.85,6.92,6.92
4g16,6.85,6.92,6.92
4gye,6.85,6.92,6.92
4hki,6.85,6.92,6.92
4nzm,6.85,6.92,6.92
4ool,6.85,6.92,6.92
4tkg,6.85,6.92,6.92
4w9q,6.85,6.92,6.92
4ybm,6.85,6.92,6.92
5d7c,6.85,6.92,6.92
2vd1,6.86,6.92,6.92
3c94,6.87,6.92,6.92
3mo5,6.87,6.92,6.92
4x1s,6.87,6.92,6.92
1i3z,6.88,6.92,6.92
2c6n,6.88,6.92,6.92
4j4n,6.88,6.92,6.92
4k43,6.88,6.92,6.92
4n4s,6.88,6.92,6.92
4uvc,6.88,6.92,6.92
4wvl,6.88,6.92,6.92
1qhr,6.89,6.92,6.92
1v0p,6.89,6.92,6.92
1vr1,6.89,6.92,6.92
1wqv,6.89,6.92,6.92
2gvz,6.89,6.92,6.92
2iu0,6.89,6.92,6.92
